id,user_token,created_at,updated_at
1,b0add25b-3ee8-42ad-a09b-7d6a91ff4d0b,2020-03-14 16:31:44.232638,2020-03-14 16:31:44.232638
2,f9814431-d2dc-4d2a-aced-7e0db0b11ccc,2020-03-15 10:37:30.130307,2020-03-15 10:37:30.130307
3,babf0ed8-8ec5-4bc6-b4ed-eb37f20e190c,2020-03-15 10:50:04.946448,2020-03-15 10:50:04.946448
4,9a025045-686c-4fca-81b2-2c3c9f73b734,2020-03-15 17:53:52.461399,2020-03-15 17:53:52.461399
5,8db38c64-69c0-4446-afa9-071898bc1add,2020-03-15 19:02:16.525574,2020-03-15 19:02:16.525574
